images,labels
data/images/img_001.jpg,data/labels/train/img_001.txt
data/images/img_002.jpg,data/labels/train/img_002.txt
data/images/img_003.jpg,data/labels/train/img_003.txt
data/images/img_004.jpg,data/labels/train/img_004.txt
data/images/img_005.jpg,data/labels/train/img_005.txt
data/images/img_006.jpg,data/labels/train/img_006.txt
data/images/img_007.jpg,data/labels/train/img_007.txt
data/images/img_008.jpg,data/labels/train/img_008.txt
data/images/img_009.jpg,data/labels/train/img_009.txt
data/images/img_010.jpg,data/labels/train/img_010.txt
data/images/img_011.jpg,data/labels/train/img_011.txt
data/images/img_012.jpg,data/labels/train/img_012.txt
data/images/img_013.jpg,data/labels/train/img_013.txt
data/images/img_014.jpg,data/labels/train/img_014.txt
data/images/img_015.jpg,data/labels/train/img_015.txt
data/images/img_016.jpg,data/labels/train/img_016.txt
data/images/img_017.jpg,data/labels/train/img_017.txt
data/images/img_018.jpg,data/labels/train/img_018.txt
data/images/img_019.jpg,data/labels/train/img_019.txt
data/images/img_020.jpg,data/labels/train/img_020.txt
data/images/img_021.jpg,data/labels/train/img_021.txt
data/images/img_022.jpg,data/labels/train/img_022.txt
data/images/img_023.jpg,data/labels/train/img_023.txt
data/images/img_024.jpg,data/labels/train/img_024.txt
data/images/img_025.jpg,data/labels/train/img_025.txt
data/images/img_026.jpg,data/labels/train/img_026.txt
data/images/img_027.jpg,data/labels/train/img_027.txt
data/images/img_028.jpg,data/labels/train/img_028.txt
data/images/img_029.jpg,data/labels/train/img_029.txt
data/images/img_030.jpg,data/labels/train/img_030.txt
data/images/img_031.jpg,data/labels/train/img_031.txt
data/images/img_032.jpg,data/labels/train/img_032.txt
data/images/img_033.jpg,data/labels/train/img_033.txt
data/images/img_034.jpg,data/labels/train/img_034.txt
data/images/img_035.jpg,data/labels/train/img_035.txt
data/images/img_036.jpg,data/labels/train/img_036.txt
data/images/img_037.jpg,data/labels/train/img_037.txt
data/images/img_038.jpg,data/labels/train/img_038.txt
data/images/img_039.jpg,data/labels/train/img_039.txt
data/images/img_040.jpg,data/labels/train/img_040.txt
data/images/img_041.jpg,data/labels/train/img_041.txt
data/images/img_042.jpg,data/labels/train/img_042.txt
data/images/img_043.jpg,data/labels/train/img_043.txt
data/images/img_044.jpg,data/labels/train/img_044.txt
data/images/img_045.jpg,data/labels/train/img_045.txt
data/images/img_046.jpg,data/labels/train/img_046.txt
data/images/img_047.jpg,data/labels/train/img_047.txt
data/images/img_048.jpg,data/labels/train/img_048.txt
data/images/img_049.jpg,data/labels/train/img_049.txt
data/images/img_050.jpg,data/labels/train/img_050.txt
data/images/img_051.jpg,data/labels/train/img_051.txt
data/images/img_052.jpg,data/labels/train/img_052.txt
data/images/img_053.jpg,data/labels/train/img_053.txt
data/images/img_054.jpg,data/labels/train/img_054.txt
data/images/img_055.jpg,data/labels/train/img_055.txt
data/images/img_056.jpg,data/labels/train/img_056.txt
data/images/img_057.jpg,data/labels/train/img_057.txt
data/images/img_058.jpg,data/labels/train/img_058.txt
data/images/img_059.jpg,data/labels/train/img_059.txt
data/images/img_060.jpg,data/labels/train/img_060.txt
data/images/img_061.jpg,data/labels/train/img_061.txt
data/images/img_062.jpg,data/labels/train/img_062.txt
data/images/img_063.jpg,data/labels/train/img_063.txt
data/images/img_064.jpg,data/labels/train/img_064.txt
data/images/img_065.jpg,data/labels/train/img_065.txt
data/images/img_066.jpg,data/labels/train/img_066.txt
data/images/img_067.jpg,data/labels/train/img_067.txt
data/images/img_068.jpg,data/labels/train/img_068.txt
data/images/img_069.jpg,data/labels/train/img_069.txt
data/images/img_070.jpg,data/labels/train/img_070.txt
data/images/img_071.jpg,data/labels/train/img_071.txt
data/images/img_072.jpg,data/labels/train/img_072.txt
data/images/img_073.jpg,data/labels/train/img_073.txt
data/images/img_074.jpg,data/labels/train/img_074.txt
data/images/img_075.jpg,data/labels/train/img_075.txt
data/images/img_076.jpg,data/labels/train/img_076.txt
data/images/img_077.jpg,data/labels/train/img_077.txt
data/images/img_078.jpg,data/labels/train/img_078.txt
data/images/img_079.jpg,data/labels/train/img_079.txt
data/images/img_080.jpg,data/labels/train/img_080.txt
data/images/img_081.jpg,data/labels/train/img_081.txt
data/images/img_082.jpg,data/labels/train/img_082.txt
data/images/img_083.jpg,data/labels/train/img_083.txt
data/images/img_084.jpg,data/labels/train/img_084.txt
data/images/img_085.jpg,data/labels/train/img_085.txt
data/images/img_086.jpg,data/labels/train/img_086.txt
data/images/img_087.jpg,data/labels/train/img_087.txt
data/images/img_088.jpg,data/labels/train/img_088.txt
data/images/img_089.jpg,data/labels/train/img_089.txt
data/images/img_090.jpg,data/labels/train/img_090.txt
data/images/img_091.jpg,data/labels/train/img_091.txt
data/images/img_092.jpg,data/labels/train/img_092.txt
data/images/img_093.jpg,data/labels/train/img_093.txt
data/images/img_094.jpg,data/labels/train/img_094.txt
data/images/img_095.jpg,data/labels/train/img_095.txt
data/images/img_096.jpg,data/labels/train/img_096.txt
data/images/img_097.jpg,data/labels/train/img_097.txt
data/images/img_098.jpg,data/labels/train/img_098.txt
data/images/img_099.jpg,data/labels/train/img_099.txt
data/images/img_100.jpg,data/labels/train/img_100.txt
