images,labels
data/images/img_001.jpg,data/labels/img_001.txt
data/images/img_094.jpg,data/labels/img_094.txt
data/images/img_022.jpg,data/labels/img_022.txt
data/images/img_028.jpg,data/labels/img_028.txt
data/images/img_026.jpg,data/labels/img_026.txt
data/images/img_077.jpg,data/labels/img_077.txt
data/images/img_042.jpg,data/labels/img_042.txt
data/images/img_093.jpg,data/labels/img_093.txt
data/images/img_023.jpg,data/labels/img_023.txt
data/images/img_076.jpg,data/labels/img_076.txt
data/images/img_003.jpg,data/labels/img_003.txt
data/images/img_070.jpg,data/labels/img_070.txt
data/images/img_099.jpg,data/labels/img_099.txt
data/images/img_016.jpg,data/labels/img_016.txt
data/images/img_087.jpg,data/labels/img_087.txt
data/images/img_065.jpg,data/labels/img_065.txt
data/images/img_091.jpg,data/labels/img_091.txt
data/images/img_085.jpg,data/labels/img_085.txt
data/images/img_025.jpg,data/labels/img_025.txt
data/images/img_008.jpg,data/labels/img_008.txt
data/images/img_045.jpg,data/labels/img_045.txt
data/images/img_088.jpg,data/labels/img_088.txt
data/images/img_051.jpg,data/labels/img_051.txt
data/images/img_021.jpg,data/labels/img_021.txt
data/images/img_098.jpg,data/labels/img_098.txt
data/images/img_024.jpg,data/labels/img_024.txt
data/images/img_033.jpg,data/labels/img_033.txt
data/images/img_039.jpg,data/labels/img_039.txt
data/images/img_032.jpg,data/labels/img_032.txt
data/images/img_038.jpg,data/labels/img_038.txt
data/images/img_069.jpg,data/labels/img_069.txt
data/images/img_056.jpg,data/labels/img_056.txt
data/images/img_036.jpg,data/labels/img_036.txt
data/images/img_053.jpg,data/labels/img_053.txt
data/images/img_006.jpg,data/labels/img_006.txt
data/images/img_014.jpg,data/labels/img_014.txt
data/images/img_048.jpg,data/labels/img_048.txt
data/images/img_010.jpg,data/labels/img_010.txt
data/images/img_062.jpg,data/labels/img_062.txt
data/images/img_074.jpg,data/labels/img_074.txt
data/images/img_049.jpg,data/labels/img_049.txt
data/images/img_012.jpg,data/labels/img_012.txt
data/images/img_055.jpg,data/labels/img_055.txt
data/images/img_096.jpg,data/labels/img_096.txt
data/images/img_019.jpg,data/labels/img_019.txt
data/images/img_011.jpg,data/labels/img_011.txt
data/images/img_029.jpg,data/labels/img_029.txt
data/images/img_061.jpg,data/labels/img_061.txt
data/images/img_047.jpg,data/labels/img_047.txt
data/images/img_031.jpg,data/labels/img_031.txt
data/images/img_044.jpg,data/labels/img_044.txt
data/images/img_054.jpg,data/labels/img_054.txt
data/images/img_084.jpg,data/labels/img_084.txt
data/images/img_071.jpg,data/labels/img_071.txt
data/images/img_078.jpg,data/labels/img_078.txt
data/images/img_015.jpg,data/labels/img_015.txt
data/images/img_063.jpg,data/labels/img_063.txt
data/images/img_037.jpg,data/labels/img_037.txt
data/images/img_086.jpg,data/labels/img_086.txt
data/images/img_073.jpg,data/labels/img_073.txt
data/images/img_066.jpg,data/labels/img_066.txt
data/images/img_059.jpg,data/labels/img_059.txt
data/images/img_007.jpg,data/labels/img_007.txt
data/images/img_067.jpg,data/labels/img_067.txt
data/images/img_090.jpg,data/labels/img_090.txt
data/images/img_005.jpg,data/labels/img_005.txt
data/images/img_100.jpg,data/labels/img_100.txt
data/images/img_030.jpg,data/labels/img_030.txt
data/images/img_009.jpg,data/labels/img_009.txt
data/images/img_040.jpg,data/labels/img_040.txt
